pillar_id,pillar_name,intent_cluster,example_head_terms,primary_landing,kd_bd,kd_gcc,kd_global_en,serp_features_bd,serp_features_gcc,serp_features_en,notes
pillar_nfc_cards,NFC digital business cards,buy_intent,"nfc business card bangladesh; digital visiting card nfc; tap card contact sharing",/shop,TBD,TBD,TBD,"Maps packs; shopping ads possible","Maps packs; premium CPC","Product grids; AI overview likely","Money page: /shop and homepage #order"
pillar_nfc_cards,NFC digital business cards,comparison,"nfc card vs qr card; best nfc card for sales teams",/shop,TBD,TBD,TBD,"Forum threads","LinkedIn-heavy SERP","YouTube carousels","Comparison tables win clicks"
pillar_nfc_cards,NFC digital business cards,use_case,"networking events nfc card; real estate agent digital card",/shop,TBD,TBD,TBD,"Local SMB mixed English/Bengali","UAE corporate gifting angles","Global SaaS-style listings","Pair with case-led landing copy"
pillar_review_stand,Google review stand,reputation_buy_intent,"google review stand bangladesh; nfc google review tap stand; countertop review stand",/#review-stands,TBD,TBD,TBD,"GBP adjacent queries","Hospitality vertical SERP","Restaurant supplier SERP","Anchor lives on homepage"
pillar_review_stand,Google review stand,roi_intent,"more google reviews for restaurant; review conversion rate checkout counter",/#review-stands,TBD,TBD,TBD,"Video-heavy","Maps","Featured snippets possible","Tie copy to measurable uplift disclaimers"
pillar_trust_infra,Trust infrastructure,concept_intent,"digital trust infrastructure; offline-to-online identity verification; machine-readable trust signals",/drops/bangladesh-2035,TBD,TBD,TBD,"Thought-leadership sparse","Compliance-adjacent English","Deep SERP competition","Avoid medical/legal claims without counsel"
pillar_trust_infra,Trust infrastructure,compliance_adjacent,"ESPR readiness; product passport readiness; brand traceability marketing",/drops/bangladesh-2035,TBD,TBD,TBD,"EU regs low overlap locally","GCC standards chatter","EU regulatory SERP","Careful wording; cite frameworks not certifications unless real"
pillar_geo_bd,Bangladesh growth engine,market_thesis,"digital shop trust bangladesh; local business reputation bangladesh; whatsapp-led commerce trust",/,TBD,TBD,TBD,"Mixed BN/EN SERP","GCC diaspora crossover possible","Low direct overlap","Use owned thesis URL /drops/bangladesh-2035"
pillar_geo_gcc,GCC expansion,premium_smb,"premium networking card dubai; corporate gifting nfc card; professional identity uae",/company-profile,TBD,TBD,TBD,"Maps + LinkedIn","Luxury SERP","Corporate gifting SERP","Ship unique AE pages before hreflang en-AE"
pillar_investor,Investor narrative,investor_discovery,"nfc infrastructure startup; offline attribution hardware; trust layer saas",/investor-deck,TBD,TBD,TBD,"Thin organic volume","Thin volume","Crunchbase/news packs","Pair deck + company-profile proof"
